,Gamma0,Gamma,eta0,eta,count,success,e1,e2,e3,e4,e5,e6,e7,e8,max_iter,min_iter,N,Jmax,alpha,gleak,ex,lk,rate,minGg,maxGg,minGo,maxGo,tol,optim,profile,Delta,runtime
44,5.994842503189409e-05,0.07564475811999974,-2.05206356833525e-05,-0.0031302519043233386,4143.0,1.0,-0.0,-0.08333333333333333,-0.16666666666666666,-0.25,-0.3333333333333333,-0.41666666666666663,-0.5,-0.5833333333333333,100000,30,8,0.1,5.0,0.1,0,7,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,ramp,-0.6666666666666666,0 days 00:00:18.381961
84,0.002477076355991714,0.07564475814651223,-0.0004334434306575711,-0.0031302519043233386,2500.0,1.0,-0.0,-0.08333333333333333,-0.16666666666666666,-0.25,-0.3333333333333333,-0.41666666666666663,-0.5,-0.5833333333333333,100000,30,8,0.1,5.0,0.1,0,7,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,ramp,-0.6666666666666666,0 days 00:00:18.381961
9,2.310129700083163e-06,0.07564475809412563,-1.4439767755959082e-06,-0.0031302519043233373,5583.0,1.0,-0.0,-0.08333333333333333,-0.16666666666666666,-0.25,-0.3333333333333333,-0.41666666666666663,-0.5,-0.5833333333333333,100000,30,8,0.1,5.0,0.1,0,7,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,ramp,-0.6666666666666666,0 days 00:00:18.381961
33,2.1544346900318823e-05,0.07564475807660641,-8.844782692764615e-06,-0.0031302519043233355,4595.0,1.0,-0.0,-0.08333333333333333,-0.16666666666666666,-0.25,-0.3333333333333333,-0.41666666666666663,-0.5,-0.5833333333333333,100000,30,8,0.1,5.0,0.1,0,7,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,ramp,-0.6666666666666666,0 days 00:00:18.381961
66,0.0004641588833612782,0.07564475796943403,-0.00011112734796321607,-0.003130251904323334,3239.0,1.0,-0.0,-0.08333333333333333,-0.16666666666666666,-0.25,-0.3333333333333333,-0.41666666666666663,-0.5,-0.5833333333333333,100000,30,8,0.1,5.0,0.1,0,7,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,ramp,-0.6666666666666666,0 days 00:00:18.381961
94,0.006280291441834266,0.0756447579914044,-0.0008944218482084389,-0.0031302519043233303,2090.0,1.0,-0.0,-0.08333333333333333,-0.16666666666666666,-0.25,-0.3333333333333333,-0.41666666666666663,-0.5,-0.5833333333333333,100000,30,8,0.1,5.0,0.1,0,7,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,ramp,-0.6666666666666666,0 days 00:00:18.381961
83,0.0022570197196339213,0.0756447580421008,-0.0004023978568438598,-0.0031302519043233303,2541.0,1.0,-0.0,-0.08333333333333333,-0.16666666666666666,-0.25,-0.3333333333333333,-0.41666666666666663,-0.5,-0.5833333333333333,100000,30,8,0.1,5.0,0.1,0,7,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,ramp,-0.6666666666666666,0 days 00:00:18.381961
82,0.0020565123083486556,0.07564475792244636,-0.0003734885747359086,-0.0031302519043233295,2582.0,1.0,-0.0,-0.08333333333333333,-0.16666666666666666,-0.25,-0.3333333333333333,-0.41666666666666663,-0.5,-0.5833333333333333,100000,30,8,0.1,5.0,0.1,0,7,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,ramp,-0.6666666666666666,0 days 00:00:18.381961
54,0.00015199110829529363,0.0756447579930404,-4.417716215602259e-05,-0.003130251904323328,3732.0,1.0,-0.0,-0.08333333333333333,-0.16666666666666666,-0.25,-0.3333333333333333,-0.41666666666666663,-0.5,-0.5833333333333333,100000,30,8,0.1,5.0,0.1,0,7,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,ramp,-0.6666666666666666,0 days 00:00:18.381961
1,1.0974987654930568e-06,0.07564475778853594,-8.15600450270302e-07,-0.0031302519043233216,5913.0,1.0,-0.0,-0.08333333333333333,-0.16666666666666666,-0.25,-0.3333333333333333,-0.41666666666666663,-0.5,-0.5833333333333333,100000,30,8,0.1,5.0,0.1,0,7,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,ramp,-0.6666666666666666,0 days 00:00:18.381961
43,5.462277217684348e-05,0.07564475782242622,-1.901175170116303e-05,-0.003130251904323321,4184.0,1.0,-0.0,-0.08333333333333333,-0.16666666666666666,-0.25,-0.3333333333333333,-0.41666666666666663,-0.5,-0.5833333333333333,100000,30,8,0.1,5.0,0.1,0,7,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,ramp,-0.6666666666666666,0 days 00:00:18.381961
24,9.326033468832218e-06,0.07564475781371018,-4.4229045152042e-06,-0.003130251904323321,4965.0,1.0,-0.0,-0.08333333333333333,-0.16666666666666666,-0.25,-0.3333333333333333,-0.41666666666666663,-0.5,-0.5833333333333333,100000,30,8,0.1,5.0,0.1,0,7,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,ramp,-0.6666666666666666,0 days 00:00:18.381961
95,0.00689261210434971,0.07564475780017464,-0.0009590690411780729,-0.0031302519043233203,2049.0,1.0,-0.0,-0.08333333333333333,-0.16666666666666666,-0.25,-0.3333333333333333,-0.41666666666666663,-0.5,-0.5833333333333333,100000,30,8,0.1,5.0,0.1,0,7,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,ramp,-0.6666666666666666,0 days 00:00:18.381961
13,3.351602650938834e-06,0.07564475777110467,-1.931231605889711e-06,-0.00313025190432332,5418.0,1.0,-0.0,-0.08333333333333333,-0.16666666666666666,-0.25,-0.3333333333333333,-0.41666666666666663,-0.5,-0.5833333333333333,100000,30,8,0.1,5.0,0.1,0,7,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,ramp,-0.6666666666666666,0 days 00:00:18.381961
81,0.0018738174228603867,0.07564475778872089,-0.0003465825083816782,-0.0031302519043233177,2623.0,1.0,-0.0,-0.08333333333333333,-0.16666666666666666,-0.25,-0.3333333333333333,-0.41666666666666663,-0.5,-0.5833333333333333,100000,30,8,0.1,5.0,0.1,0,7,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,ramp,-0.6666666666666666,0 days 00:00:18.381961
