,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Gamma0_1,Gamma0_2,Gamma0_3,Gamma0_4,Gamma0_5,Gamma0_6,Gamma0_7,Gamma0_8,Gamma0_9,Gamma0_10,Gamma1,Gamma2,Gamma3,Gamma4,Gamma5,Gamma6,Gamma7,Gamma8,Gamma9,Gamma10,eta0,eta,count,success,e1,e2,e3,e4,e5,e6,e7,e8,e9,e10,max_iter,min_iter,N,Jmax,alpha,gleak,ex,lk,rate,minGg,maxGg,minGo,maxGo,tol,optim,exfix,exval,profile,seed,Gamma,runtime,ueta,cohlength,ucohlength
20,20,20,20,0.2837303616516209,0.2837303616516209,0.2837303616516209,0.2837303616516209,0.2837303616516209,0.2837303616516209,0.2837303616516209,0.2837303616516209,0.2837303616516209,0.2837303616516209,0.1208043743750501,0.4985930113620049,0.0499676333179699,0.0656689700417725,0.423605474835793,0.0172240293472703,0.0448790424672404,0.4163252685937002,0.0282080551373469,1.0000568040698747,-0.0006497413087816,-0.0007861414173814,1985.0,0.0,0.5620515900997094,0.3877691156559539,0.7916562055903406,0.6051365892775145,0.8612666847869941,0.7323608373256045,0.601823447758565,0.2876156021959957,0.7827604679261685,0.2512675781710818,100000,30,10,0.1,3.0,0.1,0,9,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,0,0.0,disordered,1,0.2823227335829493,0 days 05:32:02.756286,0.0006497458712431,2.0985325566309316,1.5549521132278166
21,21,21,21,0.31260072430687,0.31260072430687,0.31260072430687,0.31260072430687,0.31260072430687,0.31260072430687,0.31260072430687,0.31260072430687,0.31260072430687,0.31260072430687,1.0010537085385114,0.5430658094213822,0.1423070433652829,0.2074755758568717,0.0868163517296006,0.0828314573775841,0.6144455234355918,0.5688056709976158,0.0656735246831932,0.1122547731089849,-0.0006392756001614,-0.0007292298379449,718.0,0.0,0.0752111118144044,0.9628645784432278,0.5400112050964692,0.7738942975498113,0.5292228076303601,0.6115797303718215,0.0338922505165062,0.1867936793538085,0.6746893954347775,0.5705645979524983,100000,30,10,0.1,3.0,0.1,0,9,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,0,0.0,disordered,1,0.3149611672045497,0 days 05:32:02.756286,0.0006392886172703,1.9477351290588705,1.576076385348376
22,22,22,22,0.31260072430687,0.31260072430687,0.31260072430687,0.31260072430687,0.31260072430687,0.31260072430687,0.31260072430687,0.31260072430687,0.31260072430687,0.31260072430687,0.590230074279056,0.9798435105673812,0.5747431445732881,6.985596441065221e-05,0.4859827775556619,0.5142040097806645,0.2931540000376294,1.284904572116449e-05,1.862836511203149e-05,9.385560869872e-06,-0.0006510689253313,-0.000874907079593,8668.0,1.0,0.1585550339867126,0.9520292687261848,0.1543536325474043,0.5103032497386853,0.1440028750192576,0.7173717261062347,0.2763130140951527,0.1341339751217832,0.0459871806705156,0.1748355378976236,100000,30,10,0.1,3.0,0.1,0,9,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,0,0.0,disordered,1,0.3096132624954369,0 days 05:32:02.756286,0.0006510910878886,1.5998857997900513,1.5821399301144243
23,23,23,23,0.4180637241455752,0.4180637241455752,0.4180637241455752,0.4180637241455752,0.4180637241455752,0.4180637241455752,0.4180637241455752,0.4180637241455752,0.4180637241455752,0.4180637241455752,0.5624110899120723,0.1844976706323356,0.5286183973157311,0.2103371704931693,0.1671031931259043,0.1620976952356369,0.1737922600292895,0.1612787560355356,0.5023282576248932,1.0010080461726725,-0.00050262322911,-0.0006468970015749,423.0,0.0,0.1917987167235664,0.5369720795717926,0.4510388861713912,0.9572943672535372,0.9541513368666424,0.7965461104684304,0.6715876339807033,0.8450230915683464,0.9387518284798846,0.0226177288870027,100000,30,10,0.1,3.0,0.1,0,9,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,0,0.0,disordered,1,0.4143235495473667,0 days 05:32:02.756286,0.0005026382919182,1.4589370529269436,1.4172926370881387
24,24,24,24,0.293044697697214,0.293044697697214,0.293044697697214,0.293044697697214,0.293044697697214,0.293044697697214,0.293044697697214,0.293044697697214,0.293044697697214,0.293044697697214,0.3655962532156168,3.579815546226459e-06,0.2450862894830167,0.700703155801125,1.8230337526311374e-07,9.999926235668973e-08,1.409190188150977e-07,0.5660955504921187,0.3751317378952468,1.5300397155292089e-07,-0.0006910275986949,-0.0008646309004755,98891.0,0.0,0.1181052271508587,0.3602638846836431,0.0935868530425997,0.5995244730532772,0.2603642223481086,0.2643397291323255,0.2883279886478656,0.09771565758439,0.7409444532381589,0.6506724295996501,100000,30,10,0.1,3.0,0.1,0,9,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,0,0.0,disordered,1,0.2952069674280415,0 days 05:32:02.756286,0.0006910424767884,1.9570940484678558,1.5883458196321856
25,25,25,25,0.2121550171362449,0.2121550171362449,0.2121550171362449,0.2121550171362449,0.2121550171362449,0.2121550171362449,0.2121550171362449,0.2121550171362449,0.2121550171362449,0.2121550171362449,0.2870627141687416,0.6074600943182336,1.020451579043454e-06,0.7533219174151943,4.300688706031764e-07,0.3140578921261563,0.0845302421503812,0.0142646952961505,0.2013708268555204,0.0323960703690091,-0.0008727204891565,-0.0009608774380911,100000.0,0.0,0.6065080906412624,0.0340455822777754,0.4294641446388775,0.6852035898998426,0.1563466499035863,0.3856578446575508,0.0198341454699368,0.081857997077242,0.2164535799990539,0.4146501611412486,100000,30,10,0.1,3.0,0.1,0,9,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,0,0.0,disordered,1,0.2104672411071521,0 days 05:32:02.756286,0.0008727376914296,1.903694643935526,1.7519378305583038
26,26,26,26,0.5241298302206053,0.5241298302206053,0.5241298302206053,0.5241298302206053,0.5241298302206053,0.5241298302206053,0.5241298302206053,0.5241298302206053,0.5241298302206053,0.5241298302206053,0.3453350620203594,0.6697483864691827,0.3196510413356661,0.4472850892009103,1.0010144124449638,0.2722320065799507,0.6778478702035792,0.5668879081716716,0.3239331627464392,0.4180487895589272,-0.0004137523127057,-0.0004358240227775,296.0,0.0,0.4632400362873798,0.884521531618113,0.3166584421740133,0.0214638762771913,0.8262233467711652,0.0618469353735727,0.0929919926622283,0.963181716739735,0.7533654181283584,0.337854202779255,100000,30,10,0.1,3.0,0.1,0,9,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,0,0.0,disordered,1,0.5215149987820417,0 days 05:32:02.756286,0.0004137571776409,1.5929247615424094,1.6157066090661425
27,27,27,27,0.4180637241455752,0.4180637241455752,0.4180637241455752,0.4180637241455752,0.4180637241455752,0.4180637241455752,0.4180637241455752,0.4180637241455752,0.4180637241455752,0.4180637241455752,0.5623852438392113,0.0183761756434942,0.0080972360271787,1.000006318009288,0.0210632466189479,0.9242475998317348,0.3994427035006063,0.737984318402665,0.0342446965989978,0.0198857692572864,-0.0005084135994028,-0.0005709651459728,2184.0,0.0,0.1321788416191956,0.3867305731718615,0.3391948927801735,0.8744412014424732,0.41875301731404,0.082045006015622,0.9268052023585862,0.6223133637152601,0.1167098567810022,0.1131741600464223,100000,30,10,0.1,3.0,0.1,0,9,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,0,0.0,disordered,1,0.4124283406372728,0 days 05:32:02.756286,0.0005084521278759,1.6867241710179495,1.5742253998808438
28,28,28,28,0.1586356533508588,0.1586356533508588,0.1586356533508588,0.1586356533508588,0.1586356533508588,0.1586356533508588,0.1586356533508588,0.1586356533508588,0.1586356533508588,0.1586356533508588,0.0524509940595223,0.6821920716163453,0.0702098353959679,0.059954473205959,1.0005201667723662,0.0243517066480496,0.0521450352294044,0.2405604798120888,0.0401871815776892,0.0280885516313958,-0.0007947286378437,-0.0010353171557647,934.0,0.0,0.4659332411642642,0.0920889656891161,0.6317521922027585,0.6163837910949103,0.0320813486181537,0.8074227810412945,0.7867947609394985,0.9153082686153085,0.6703066467384771,0.6928622323352233,100000,30,10,0.1,3.0,0.1,0,9,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,0,0.0,disordered,1,0.158812190621883,0 days 05:32:02.756286,0.0007947288412666,2.3483631049574587,1.953598422709642
29,29,29,29,0.4317879727332017,0.4317879727332017,0.4317879727332017,0.4317879727332017,0.4317879727332017,0.4317879727332017,0.4317879727332017,0.4317879727332017,0.4317879727332017,0.4317879727332017,0.124107942436419,0.1071484740602675,1.0003967121281083,0.3360410771899622,0.1772037784842964,0.2180026980127512,0.5449881979522586,0.8606745377590433,0.1316964104448685,0.1058255920572899,-0.0004862885193873,-0.0005351899800467,774.0,0.0,0.1637416544531679,0.0238888139788117,0.0655631524184199,0.9644613401603572,0.6457213655596336,0.9469066664934074,0.3493843588720956,0.755221576661414,0.0653989653616667,0.1662051655929711,100000,30,10,0.1,3.0,0.1,0,9,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,0,0.0,disordered,1,0.4318615551314043,0 days 05:32:02.756286,0.0004862885453433,1.6064574072461775,1.5370393284864834
